time,position,color
81,W,0xFFFF63FF
81.5,Q,0xFF03FEB7
82,D,0xFFFF63FF
82.5,S,0xFF03FEB7
83,A,0xFFFF63FF
83.5,C,0xFF03FEB7
84,X,0xFFFF63FF
84.5,Z,0xFF03FEB7
85,Q,0xFFFF63FF
85.5,C,0xFF03FEB7
86,E,0xFFFF63FF
86.5,Z,0xFF03FEB7
87,A,0xFFFF63FF
87.5,D,0xFF03FEB7
88,Z,0xFFFF63FF
88.5,X,0xFF03FEB7
89,E,0xFFFF63FF
89.5,W,0xFF03FEB7
90,Q,0xFFFF63FF
90.5,A,0xFF03FEB7
91,Z,0xFFFF63FF
91.5,X,0xFF03FEB7
92,A,0xFFFF63FF
92.5,Q,0xFF03FEB7
93,W,0xFFFF63FF
93.5,E,0xFF03FEB7
94,D,0xFFFF63FF
94.5,C,0xFF03FEB7
95,Z,0xFFFF63FF
95.5,X,0xFF03FEB7
96,C,0xFFFF63FF
96.5,D,0xFF03FEB7
97,E,0xFFFF63FF
97.5,A,0xFF03FEB7
98,S,0xFFFF63FF
98.5,D,0xFF03FEB7
99,E,0xFFFF63FF
99.5,D,0xFF03FEB7
100,E,0xFFFF63FF
100.5,W,0xFF03FEB7
101,Q,0xFFFF63FF
101.5,C,0xFF03FEB7
102,D,0xFFFF63FF
102.5,Q,0xFF03FEB7
103,W,0xFFFF63FF
103.5,E,0xFF03FEB7
104,A,0xFFFF63FF
104.5,S,0xFF03FEB7
105,D,0xFFFF63FF
105.5,Z,0xFF03FEB7
106,X,0xFFFF63FF
106.5,C,0xFF03FEB7
107,E,0xFFFF63FF
107.5,W,0xFF03FEB7
108,Q,0xFFFF63FF
108.5,D,0xFF03FEB7
109,S,0xFFFF63FF
109.5,A,0xFF03FEB7
110,C,0xFFFF63FF
110.5,X,0xFF03FEB7
111,Z,0xFFFF63FF
111.5,Q,0xFF03FEB7
112,C,0xFFFF63FF
112.5,E,0xFF03FEB7
113,Z,0xFFFF63FF
113.5,Q,0xFF03FEB7
114,W,0xFFFF63FF
114.5,E,0xFF03FEB7
115,A,0xFFFF63FF
115.5,S,0xFF03FEB7
116,D,0xFFFF63FF
116.5,Z,0xFF03FEB7
117,X,0xFFFF63FF
117.5,C,0xFF03FEB7
118,E,0xFFFF63FF
118.5,W,0xFF03FEB7
119,Q,0xFFFF63FF
119.5,D,0xFF03FEB7
120,S,0xFFFF63FF
120.5,A,0xFF03FEB7
121,C,0xFFFF63FF
121.5,X,0xFF03FEB7
122,Z,0xFFFF63FF
122.5,Q,0xFF03FEB7
123,C,0xFFFF63FF
123.5,E,0xFF03FEB7
124,Z,0xFFFF63FF
124.5,A,0xFF03FEB7
125,D,0xFFFF63FF
125.5,Z,0xFF03FEB7
126,X,0xFFFF63FF
126.5,E,0xFF03FEB7
127,W,0xFFFF63FF
127.5,Q,0xFF03FEB7
128,A,0xFFFF63FF
128.5,Z,0xFF03FEB7
129,X,0xFFFF63FF
129.5,A,0xFF03FEB7
130,Q,0xFFFF63FF
